#OTU ID	SRR23216666	SRR23216663	SRR23216665	SRR23216664	SRR23216662	SRR23216667	ERR1474249	ERR1474250	ERR1474244	ERR1474248	ERR1474235	ERR1474237	ERR1474238	ERR1474246	ERR1474251	ERR1474247	ERR1474236	ERR1474240	ERR1474239
PWY-5392	1.3836779592561246	0.0	0.0	21.313270350228606	29.103064101629244	10.556883213356544	0.002364705387376702	9.40864592216658	12.475798612142304	109.3966147352228	3.437430032924674	0.0005722599200303892	3.2458387074731466e-05	366.4155381035278	2.2083929138521343	16.67051708449404	282.6150928211155	0.9858295484955852	0.0027413902476744766
PWY-5415	5966.056552205676	1610.3813160578875	2806.1085053872016	6311.94014542873	2464.902098361933	3153.874887663867	296.54029382755897	1399.2040763695315	1287.2498133683143	920.7516961174431	920.9727630897554	1388.6576790257466	591.0338168297051	2055.7554931605086	3977.2098112926083	7837.295889549523	6546.180041513926	450.70543813856733	1216.0057927088988
PWY-5417	2525.170943941009	844.0963204702631	586.7420182255507	957.8313595410634	832.2103580185512	1380.750853567861	113.10446288811593	587.7743708015629	1100.422899614473	40.83966489846132	8.702737867830963	1408.0255260773276	47.23959149178408	2902.823918722681	976.1377587818635	5846.60590973398	3589.8903463422203	42.84208472846862	1093.51384848074
PWY-5419	7618.897308166028	1446.7738940452052	2402.765635641768	8926.59662707168	2491.940563482133	3080.1408216373575	107.98241584763969	865.9529223418879	704.0329223680436	197.03131262824587	395.21123071656865	263.8572844045384	4.4389038255586515	1951.6003408794409	1840.842842697085	5103.352273741758	5848.739034552039	10.040616837335756	304.30291876988855
PWY-5420	7128.95728509859	1528.6090099775922	2640.1803340025863	7066.079940079402	2418.200506264107	3072.527763809672	160.6490988314	1046.5771304029074	858.3985132002472	311.9557252586889	621.2985069714321	409.64253045548355	7.736921795285116	1899.2271878754786	2533.2305250621953	6043.741118956058	6070.387618101806	17.43578021562101	453.33721801004793
PWY-5427	0.0	0.0	0.0	5.439999999991234e-14	6.259999999989614e-13	0.0	0.0	0.0009739329269621422	0.0	0.0	0.0	9.549541627446986e-07	0.0	0.0001276693042149111	1.1749415406265518e-06	6.43814665975902e-07	2.5695920478965345e-05	0.0	0.0012636885801077414
PWY-5430	4606.9105929351745	870.8021090592298	1461.734830814635	2615.9195011818624	1541.5992487566991	2120.87937682914	121.23801025782811	790.6548413755944	704.8041009727502	40.61916408583222	18.292952046255945	501.09045674096353	8.784266337603214	1547.597379308853	1354.5580444713783	5238.883839843672	3857.596630851143	20.850157309290644	492.5081890576629
PWY-5431	2525.170943941009	844.0963204702631	586.7420182255507	957.8313595410634	832.2103580185512	1380.750853567861	113.10446288811593	587.7743708015629	1100.422899614473	40.83966489846132	8.702737867830963	1408.0255260773276	47.23959149178408	2902.823918722681	976.1377587818635	5846.60590973398	3589.8903463422203	42.84208472846862	1093.51384848074
PWY-5484	21682.52864104275	11099.558604976515	13246.252367713445	21504.157838448653	16334.380165645027	22400.12494151392	3752.9422312202128	4469.442760947078	10127.092187965985	20847.242402368483	20282.232763874872	6412.290273755722	10875.361794105434	11395.333509826722	13582.709097267392	24561.03413209952	21513.74771124606	9803.69386451644	5235.327329333895
PWY-5499	2.1236221035288643	0.039483889768841804	0.3220842843411906	0.7214971074702299	2.028647410119305	1.5646437240495183	0.30160914865604077	18.10420744477002	1.9447534346887314	0.33409685335397615	0.15858353355149188	12.401261354678041	0.0	13.78400753306194	31.353895416833193	7.540801622247738	46.75864048345078	0.0	2.8638760161605936
PWY-5505	13268.23740277547	6726.042348575397	5739.65780425141	14121.904006292601	7791.926059117342	6322.899712214615	2324.3614708087784	2821.682951933178	7370.086925440646	11177.302446816042	9002.568094508155	4822.490732752403	7003.80938038251	10296.529787033343	6117.756149427305	13512.913570559658	12851.669564033553	2986.8603857375174	3432.301092294247
PWY-5507	1171.5763022480203	1967.2587840903427	1070.1187229922214	2229.502157697616	2913.183903596366	1188.1566297038785	432.4609610047998	876.7005056877875	1609.5440458807352	591.2843217734686	3529.364873641833	987.96216845682	686.8408206679712	745.4568380969049	3088.108849234371	479.73395979522195	2689.8378130333067	314.8294771643947	1357.9123771306365
